"Date","steem_price","sbd_price","amount","from","memo","to","timestamp","currency_amount","currency_type","direction","dollar_price_of_tr","tr_type"
"2017-12-18",2.33,11.3,"0.100 SBD","misrori","dlive-donation-a156bf40-e421-11e7-a30b-0ffb275b5e0c","jerrybanfield","2017-12-18T19:59:45",0.1,"SBD","out",1.13,"normal_tr"
"2017-12-18",2.33,11.3,"0.100 SBD","jerrybanfield","Refund for invalid bid: 0.100 SBD - Invalid post URL in memo.","misrori","2017-12-18T19:59:48",0.1,"SBD","in",1.13,"normal_tr"
"2017-12-21",3.44,13.36,"0.001 STEEM","hottopic","Hello misrori. I Followed you.If you follow me, I'll be happy.Thanks :)","misrori","2017-12-21T08:29:06",0.001,"STEEM","in",0,"normal_tr"
"2017-12-21",3.44,13.36,"1.000 SBD","misrori","https://steemit.com/development/@misrori/steem-is-finally-rising-check-out-the-price-with-my-application","upmyvote","2017-12-21T09:12:00",1,"SBD","out",13.36,"normal_tr"
"2017-12-21",3.44,13.36,"0.368 SBD","misrori","https://steemit.com/development/@misrori/steem-is-finally-rising-check-out-the-price-with-my-application","jerrybanfield","2017-12-21T09:56:57",0.368,"SBD","out",4.92,"normal_tr"
"2017-12-21",3.44,13.36,"1.000 SBD","misrori","https://steemit.com/development/@misrori/steem-is-finally-rising-check-out-the-price-with-my-application","postpromoter","2017-12-21T11:51:09",1,"SBD","out",13.36,"normal_tr"
"2017-12-21",3.44,13.36,"1.000 SBD","misrori","https://steemit.com/dlive/@jerrybanfield/a156bf40-e421-11e7-a30b-0ffb275b5e0c#@misrori/9572c470-e42c-11e7-ba0b-8fed418eb82d","pushup","2017-12-21T13:24:36",1,"SBD","out",13.36,"normal_tr"
"2017-12-21",3.44,13.36,"1.000 SBD","misrori","https://steemit.com/dlive/@jerrybanfield/a156bf40-e421-11e7-a30b-0ffb275b5e0c#@misrori/565a0c60-e42e-11e7-9cd0-41a72e09a4c2","boomerang","2017-12-21T13:49:48",1,"SBD","out",13.36,"normal_tr"
"2017-12-21",3.44,13.36,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app","jerrybanfield","2017-12-21T18:19:15",1,"SBD","out",13.36,"normal_tr"
"2017-12-21",3.44,13.36,"0.001 SBD","sportic","Do resteemed your post. 0.500 SBD/STEEM + memo your post and will see more than 6500 of my followers","misrori","2017-12-21T19:03:06",0.001,"SBD","in",0.01,"normal_tr"
"2017-12-22",3.64,13.41,"1.001 SBD","misrori","https://steemit.com/development/@misrori/steem-is-finally-rising-check-out-the-price-with-my-application#@misrori/re-misrori-steem-is-finally-rising-check-out-the-price-with-my-application-20171221t134548883z","pushup","2017-12-22T07:20:27",1.001,"SBD","out",13.42,"normal_tr"
"2017-12-22",3.64,13.41,"1.000 SBD","misrori","https://steemit.com/development/@misrori/steem-is-finally-rising-check-out-the-price-with-my-application#@misrori/re-misrori-steem-is-finally-rising-check-out-the-price-with-my-application-20171221t134404162z","pushup","2017-12-22T10:42:06",1,"SBD","out",13.41,"normal_tr"
"2017-12-27",3.42,9.36,"1.809 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171221t191129622z","pushup","2017-12-27T15:16:51",1.809,"SBD","out",16.93,"normal_tr"
"2017-12-27",3.42,9.36,"4.000 SBD","misrori","https://steemit.com/development/@misrori/steem-is-finally-rising-check-out-the-price-with-my-application","buildawhale","2017-12-27T15:20:24",4,"SBD","out",37.44,"normal_tr"
